Airmass,Magnitude,
1.1168,-11.66,B
1.23623,-11.643,
1.1168,-11.446,C
1.23623,-11.453,
1.1168,-9.305,A
1.23623,-9.287,
1.1168,-8.858,PG
1.23623,-8.847,
