Airmass,Magnitude,
1.12436,-8.941,B
1.22067,-8.931,
1.12436,-8.646,C
1.22067,-8.652,
1.12436,-6.902,A
1.22067,-6.844,
1.12436,-8.694,PG
1.22067,-8.658,
