Airmass,Magnitude,
1.11951,-11.359,B
1.22761,-11.336,
1.23045,-11.337,
1.11951,-11.132,C
1.22761,-11.106,
1.23045,-11.128,
1.11951,-9.006,A
1.22761,-8.971,
1.23045,-8.968,
1.11951,-9.257,PG
1.22761,-9.22,
1.23045,-9.212,
