Airmass,Magnitude,
1.15557,-11.346,B
1.267,-11.334,
1.15557,-11.125,C
1.267,-11.116,
1.15557,-8.999,A
1.267,-8.961,
1.15557,-9.247,PG
1.267,-9.2,
