Airmass,Magnitude,
1.790322,-11.122,B
1.698874,-11.229,B
1.099077,-11.354,B
1.096135,-11.358,B
1.208668,-11.352,B
1.790322,-10.886,C
1.698874,-10.989,C
1.099077,-11.116,C
1.096135,-11.121,C
1.208668,-11.13,C
1.790322,-8.783,A
1.698874,-8.89,A
1.099077,-9.007,A
1.096135,-9.006,A
1.208668,-8.992,A
1.698874,-9.262,PG
1.099077,-9.15,PG
1.096135,-9.262,PG
1.208668,-9.252,PG
