Airmass,Magnitude,
1.74382,-10.795,B
1.15557,-11.346,
1.267,-11.334,
1.74382,-10.551,C
1.15557,-11.125,
1.267,-11.116,
1.74382,-8.464,A
1.15557,-8.999,
1.267,-8.961,
1.74382,-8.701,PG
1.15557,-9.247,
1.267,-9.2,
