Airmass,Magnitude,
1.72577,-11.148,B
1.15179,-11.609,
1.2703,-11.583,
1.72577,-10.939,C
1.15179,-11.419,
1.2703,-11.393,
1.72577,-8.802,A
1.15179,-9.262,
1.2703,-9.228,
1.72577,-8.408,PG
1.15179,-8.835,
1.2703,-8.881,
