Airmass,Magnitude
1.7569,-8.303
1.16027,-8.934
1.26239,-8.91
1.74382,-10.795
1.15557,-11.346
1.267,-11.334
1.72577,-11.148
1.15179,-11.609
1.2703,-11.583
1.7569,-7.979
1.16027,-8.648
1.26239,-8.62
1.74382,-10.551
1.15557,-11.125
1.267,-11.116
1.72577,-10.939
1.15179,-11.419
1.2703,-11.393
1.7569,-6.341
1.16027,-6.847
1.26239,-6.799
1.74382,-8.464
1.15557,-8.999
1.267,-8.961
1.72577,-8.802
1.15179,-9.262
1.2703,-9.228
1.7569,-8.006
1.16027,-8.683
1.26239,-8.626
1.74382,-8.701
1.15557,-9.247
1.267,-9.2
1.72577,-8.408
1.15179,-8.835
1.2703,-8.881
