Airmass,Magnitude,
1.96708,-11.018,B
1.1168,-11.66,
1.23623,-11.643,
1.96708,-10.806,C
1.1168,-11.446,
1.23623,-11.453,
1.96708,-8.677,A
1.1168,-9.305,
1.23623,-9.287,
1.96708,-8.237,PG
1.1168,-8.858,
1.23623,-8.847,
