Airmass,Magnitude
1.815204,22.612910754780728
1.815204,22.612910754780728
1.815204,22.612910754780728
1.815204,22.612910754780728
1.729485,22.658275556133646
1.729485,22.658275556133646
1.729485,22.658275556133646
1.729485,22.658275556133646
1.1019370000000002,22.990390843986038
1.1019370000000002,22.990390843986038
1.1019370000000002,22.990390843986038
1.1019370000000002,22.990390843986038
1.090597,22.996392277126205
1.090597,22.996392277126205
1.090597,22.996392277126205
1.090597,22.996392277126205
1.204181,22.936280567973398
1.204181,22.936280567973398
1.204181,22.936280567973398
1.204181,22.936280567973398
