Airmass,Magnitude,
1.7569,-8.303,B
1.16027,-8.934,
1.26239,-8.91,
1.7569,-7.979,C
1.16027,-8.656,
1.26239,-8.62,
1.7569,-6.341,A
1.16027,-6.847,
1.26239,-6.799,
1.7569,-8.006,PG
1.16027,-8.683,
1.26239,-8.626,
