Airmass,Magnitude,
1.761573,-11.489,B
1.093378,-11.666,
1.213917,-11.645,
1.761573,-11.275,C
1.093378,-11.465,
1.213917,-11.449,
1.761573,-9.14,A
1.093378,-9.314,
1.213917,-9.313,
1.761573,-8.71,PG
1.093378,-8.902,
1.213917,-8.851,
