Airmass,Magnitude,
1.729485,-8.719,B
1.101937,-8.977,B
1.090597,-8.974,B
1.204181,-8.933,B
1.729485,-8.422,C
1.101937,-8.675,C
1.090597,-8.696,C
1.204181,-8.65,C
1.729485,-6.715,A
1.101937,-7.005,A
1.090597,-6.998,A
1.204181,-6.9,A
1.729485,-8.45,PG
1.101937,-8.726,PG
1.090597,-8.718,PG
1.204181,-8.684,PG
