Airmass,Magnitude,
2.06734,-8.129,B
2.060437,-8.079,
1.12436,-8.941,
1.22067,-8.931,
2.06734,-7.878,C
2.060437,-7.769,
1.12436,-8.646,
1.22067,-8.652,
2.06734,-6.095,A
2.060437,-6.049,
1.12436,-6.902,
1.22067,-6.844,
2.06734,-7.838,PG
1.12436,-8.694,
1.22067,-8.658,
2.060437,-7.76,
