Color_index,y,#
-0.13,22.51,149
0.3,22.5,149A
0.66,22.61,149B
0.2,22.54,149C
-0.04,22.52,149D
0.52,22.6,149E
1.12,22.64,149F
0.54,22.55,149G
0.87,21.56,A
0.87,21.72,A
0.87,20.57,A
1.08,20.45,B
1.08,21.73,B
1.08,21.59,B
1.13,20.43847,C
1.13,21.75,C
1.13,21.62,C
-0.97,20.68,PG
-0.97,20.85,PG
-0.97,19.53,PG
