Color_index,y,#
0.2,23.59,149A
-0.04,23.66,149
0.37,23.68,149B
0.09,23.69,149C
0.02,23.67,149D
0.32,23.69,149E
0.59,23.66,149F
0.32,23.66,149G
0.51,22.68,A
0.51,22.81,A
0.51,21.37,A
0.59,21.33,B
0.59,22.79,B
0.59,22.67,B
0.62,21.32,C
0.62,22.79,C
0.62,22.67,C
-0.09,22.79,PG
-0.09,22.67,PG
-0.09,21.34,PG
