Color_index,y,#
-0.04,23.43,149
0.2,23.35,149A
0.37,23.45,149B
0.09,23.46,149C
0.02,23.43,149D
0.32,23.46,149E
0.59,23.43,149F
0.32,23.42,149G
0.51,22.46,A
0.51,22.61,A
0.51,21.5,A
0.59,21.45,B
0.59,22.59,B
0.59,22.46,B
0.62,21.44,C
0.62,22.6,C
0.62,22.48,C
-0.09,22.44,PG
-0.09,21.47,PG
-0.09,22.6,PG
