Color_index,y,#,##
1.015,22.87074649,A,1633
1.015,23.20606848,A,1633
1.015,23.24991512,A,1633
1.09,22.85874649,B,1633
1.09,23.17406848,B,1633
1.09,23.23491512,B,1633
1.138,22.85774649,C,1633
1.138,23.24591512,C,1633
1.138,23.19006848,C,1633
-0.212,22.80974649,PG,1633
-0.212,23.20091512,PG,1633
-0.212,23.11306848,PG,1633
0.65,22.82474649,D,1633
0.391,25.701,A,149
-0.108,23.342,149,149
0.29,20.988,D,149
0.728,23.955,B,149
0.222,25.8,C,149
0.637,22.391,E,149
1.132,22.772,F,149
0.645,23.366,G,149
