Color_index,y,#
-0.11,23.21,149
0.39,23.14,149A
0.73,23.23,149B
0.22,23.26,149C
0.29,23.27,149D
0.64,23.24,149E
1.13,23.23,149F
0.65,23.2,149G
1.02,22.39,A
1.02,21.58,A
1.02,22.53,A
1.09,21.56,B
1.09,22.51,B
1.09,22.39,B
1.14,21.57,C
1.14,22.53,C
1.14,22.41,C
-0.21,22.47,PG
-0.21,22.41,PG
-0.21,21.55,PG
