Color_index,y,#
0.39,23.36,149A
-0.11,23.44,149
0.73,23.47,149B
0.22,23.48,149C
0.29,23.51,149D
0.64,23.47,149E
1.13,23.48,149F
0.65,23.44,149G
1.02,22.56,A
1.02,22.67,A
1.02,21.38,A
1.09,21.36,B
1.09,22.67,B
1.09,22.55,B
1.14,21.36,C
1.14,22.66,C
1.14,22.58,C
-0.21,21.31,PG
-0.21,22.59,PG
-0.21,22.49,PG
