Color_index,y,#,
1.671,24.893682217942,B,1633
1.671,24.864574715617,B,1633
1.671,24.9624623127,B,1633
1.752,24.881682217942,C,1633
1.752,24.875574715617,C,1633
1.752,24.9764623127,C,1633
1.378,24.934682217942,A,1633
1.378,24.887574715617,A,1633
1.378,24.9614623127,A,1633
-0.285,24.910682217942,PG,1633
-0.285,24.875574715617,PG,1633
-0.285,24.9424623127,PG,1633
0.494,25.0357565854188,A,
-0.169,25.1067565854188,149,
-0.016,25.1137565854188,D,
1.036,25.1257565854188,B,
0.288,25.1387565854188,C,
0.843,25.1357565854188,E,
1.709,25.1107565854188,F,
0.863,25.0357565854188,G,
