Color_index,y,#,
2.171,24.4356874095324,B,1633
2.171,24.412582212704,B,1633
2.171,24.4890026314569,B,1633
2.272,24.4356874095324,C,1633
2.272,24.410582212704,C,1633
2.272,24.5110026314569,C,1633
1.888,24.4566874095324,A,1633
1.888,24.419582212704,A,1633
1.888,24.4950026314569,A,1633
-0.404,24.3846874095324,PG,1633
-0.404,24.340582212704,PG,
-0.404,24.4230026314569,PG,
1.185,24.4700026314569,D,
0.689,24.6016434539651,A,
-0.237,24.6836434539651,149,
-0.008,24.6936434539651,D,
1.39,24.7106434539651,B,
0.417,24.7216434539651,C,
1.159,24.7186434539651,E,
2.247,24.7196434539651,F,
1.186,24.6826434539651,G,
