Color_index,y,#,
1.671,24.0124375138816,B,1633
1.671,23.9881479307264,B,1633
1.671,24.0635612478208,B,1633
1.671,24.0476966335538,B,1633
1.752,24.0744375138816,C,1633
1.752,24.0061479307264,C,1633
1.752,24.0975612478208,C,1633
1.752,24.0506966335538,C,1633
1.378,24.0574375138816,A,1633
1.378,24.0281479307264,A,1633
1.378,24.0555612478208,A,1633
1.378,24.0966966335538,A,1633
-0.285,23.8764375138816,PG,1633
-0.285,23.8961479307264,PG,1633
-0.285,23.9455612478208,PG,1633
-0.285,23.8836966335538,PG,1633
0.494,24.1074089467776,A,
-0.169,24.0974089467776,149,
-0.016,24.1194089467776,D,
1.036,24.2094089467776,B,
0.288,24.1284089467776,C,
0.843,24.1974089467776,E,
1.709,24.2554089467776,F,
0.863,24.1654089467776,G,
